quote,author
"Security is mostly a superstition. It does not exist in nature, nor do the children of men as a whole experience it. Avoiding danger is no safer in the long run than outright exposure. Life is either a daring adventure, or nothing.","Helen Keller"
"Security is, I would say, our top priority because for all the exciting things you will be able to do with computers - organizing your lives, staying in touch with people, being creative - if we don't solve these security problems, then people will hold back.","Bill Gates"
"There is no security on this earth; there is only opportunity.","Douglas MacArthur"
"We cannot continue to rely only on our military in order to achieve the national security objectives that we've set. We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.","Barack Obama"
"People are prone to taking mental shortcuts. They may know that they shouldn't give out certain information, but the fear of not being nice, the fear of appearing ignorant, the fear of a perceived authority figure - all these are triggers, which can be used by a social engineer to convince a person to override established security procedures.","Kevin Mitnick"
"There is no such thing as perfect security, only varying levels of insecurity.","Salman Rushdie"
"Let us not look back in anger or forward in fear, but around in awareness.","James Thurber"
"The user's going to pick dancing pigs over security every time.","Bruce Schneier"
"If you reveal your secrets to the wind, you should not blame the wind for revealing them to the trees.","Kahlil Gibran"
"There are no secrets better kept than the secrets that everybody guesses.","George Bernard Shaw"
"I think computer viruses should count as life. I think it says something about human nature that the only form of life we have created so far is purely destructive. We've created life in our own image.","Stehpen Hawking"
"It is much more secure to be feared than to be loved.","Niccolo Machiavelli"
"The condition of any backup is unknown until a restore is attempted.","Schrodinger's Backup"
"Most people spend more time and energy going around problems than trying to solve them.","Henry Ford"
"If privacy is outlawed, only outlaws will have privacy.","Philip Zimmerman"
"If you spend more on coffee than on IT security, you will be hacked. What's more, you deserve to be hacked.","Richard Clarke"
"Amateurs hack systems, professionals hack people.","Bruce Schneier"
"If security were all that mattered, computers would never be turned on, let alone hooked into a network with literally millions of potential intruders.","Dan Farmer"
"People often represent the weakest link in the security chain and are chronically responsible for the failure of security systems.","Bruce Schneier"
"If you think technology can solve your security problems, then you don't understand the problems and you don't understand the technology.","Bruce Schneier"
"The only truly secure system is one that is powered off, cast in a block of concrete and sealed in a lead-lined room with armed guards.","Gene Spafford"
"We will bankrupt ourselves in the vain search for absolute security.","Dwight D. Eisenhower"
"There is no castle so strong that it cannot be overthrown by money.","Cicero"
"Phishing is a major problem because there really is no patch for human stupidity.","Mike Danseglio"
"The most likely way for the world to be destroyed, most experts agree, is by accident. That's where we come in; we're computer professionals. We cause accidents.","Nathaniel Borenstein"
"A good programmer is someone who always looks both ways before crossing a one-way street.","Doug Linder"
"It's not good enough to have a system where everyone (using the system) must be trusted, it must also be made robust against insiders!","Robert Morris"
"Security in IT is like locking your house or car â€“ it doesn't stop the bad guys,  but if it's good enough they may move on to an easier target.","Paul Herbka"
"The trouble with quotes on the Internet is that you never know if they are genuine.","Benjamin Franklin"
"The trouble with quotes on the Internet is that you never know if they are genuine.","Friedrich Nietzsche"
"The trouble with quotes on the Internet is that you never know if they are genuine.","Isaac Newton"
"The Internet is the crime scene of the 21st Century","Cyrus Vance Jr."
"Gentlemen do not read each others mail.","Henry Lewis Stimson"
"When in doubt, use brute force.","Ken Thompson"
"UNIX was not designed to stop its users from doing stupid things, as that would also stop them from doing clever things.","Doug Gwyn"
"Life is too short to run proprietary software.","Bdale Garbee"
"A cloud is made of billows upon billows upon billows that look like clouds. As you come closer to a cloud you don't get something smooth, but irregularities at a smaller scale.","Benoit Mandelbrot"
"Every cloud has its silver lining but it is sometimes a little difficult to get it to the mint.","Don Marquis"
"Software Engineering might be science; but that's not what I do. I'm a hacker, not an engineer.","Jamie Zawinski"
"I don't condone anyone causing damage in my name, or doing anything malicious in support of my plight. There are more productive ways to help me. As a hacker myself, I never intentionally damaged anything.","Kevin Mitnick"
"When an attacker fails with one person, they often go to another person. The key is to report the attack to other departments. Workers should know to act like they are going along with what the hacker wants and take copious notes so the company will know what the hacker is trying to find.","Kevin Mitnick"
"The key to social engineering is influencing a person to do something that allows the hacker to gain access to information or your network.","Kevin Mitnick"
"I wasn't a hacker for the money, and it wasn't to cause damage.","Kevin Mitnick"
"One reason you should not use web applications to do your computing is that you lose control.","Richard Stallman"
